20240103,000669,1
20240103,603030,1
20240104,002564,1
20240104,000697,1
20240104,000669,2
20240104,603030,2
20240105,002564,2
20240105,000697,2
20240108,002564,1
20240109,600599,1
20240110,600599,2
20240110,002564,2
20240111,600599,1
20240115,600599,2
20240226,603007,1
20240226,600589,1
20240227,300209,1
20240227,000752,1
20240227,600589,2
20240228,002157,1
20240228,300209,2
20240228,000752,2
20240228,603007,2
20240229,600589,1
20240229,600112,1
20240301,300427,1
20240301,600589,2
20240304,300427,2
20240304,002157,2
20240305,002564,1
20240305,002721,1
20240306,002052,1
20240306,600112,2
20240306,002564,2
20240307,300313,1
20240307,002309,1
20240307,002721,2
20240307,002052,2
20240308,002502,1
20240308,603880,1
20240308,300313,2
20240308,002309,2
20240311,600589,1
20240311,600766,1
20240311,002502,2
20240311,603880,2
20240312,002021,1
20240312,603007,1
20240312,600589,2
20240313,000615,1
20240313,002021,2
20240314,002800,1
20240314,600766,2
20240314,603007,2
20240314,000615,2
20240315,600303,1
20240315,002592,1
20240315,600462,1
20240315,002800,2
20240318,002699,1
20240318,600303,2
20240318,002592,2
20240319,002822,1
20240319,600599,1
20240319,600462,2
20240320,002951,1
20240320,002699,2
20240320,002822,2
20240320,600599,2
20240321,600599,1
20240321,000697,1
20240322,600518,1
20240322,002951,2
20240322,000697,2
20240325,600518,2
20240325,600599,2
20240326,600518,1
20240326,002700,1
20240327,000525,1
20240327,002700,2
20240328,600518,2
20240328,000525,2
20240401,600589,1
20240402,600589,2
20240403,000697,1
20240403,600766,1
20240403,002289,1
20240403,600647,1
20240408,000697,2
20240408,002289,2
20240409,002086,1
20240409,000796,1
20240409,600766,2
20240409,600647,2
20240410,000889,1
20240410,002086,2
20240410,000796,2
20240411,000889,2
20240419,600182,1
20240419,600759,1
20240422,600182,2
20240423,600759,2
20240426,002700,1
20240429,002700,2
20240430,000839,1
20240506,300220,1
20240506,000669,1
20240506,000007,1
20240506,000839,2
20240507,000692,1
20240507,300220,2
20240507,000669,2
20240507,000007,2
20240508,000637,1
20240508,603001,1
20240508,603557,1
20240508,000692,2
20240509,000656,1
20240509,000637,2
20240509,603001,2
20240509,603557,2
20240510,600365,1
20240510,000656,2
20240513,000889,1
20240513,600365,2
20240514,000889,2
20240515,000809,1
20240515,603559,1
20240515,000839,1
20240516,600213,1
20240516,000809,2
20240516,603559,2
20240516,000839,2
20240517,600543,1
20240517,603557,1
20240517,600213,2
20240520,600136,1
20240520,600543,2
20240520,603557,2
20240521,603001,1
20240521,600136,2
20240522,000889,1
20240522,603001,2
20240523,002490,1
20240523,600589,1
20240523,000889,2
20240524,600165,1
20240524,002808,1
20240524,002490,2
20240527,603880,1
20240527,600589,2
20240527,002808,2
20240527,002808,2
20240527,002808,2
20240528,600898,1
20240528,603880,2
20240529,000752,1
20240530,000752,2
20240531,002808,2
20240531,600898,2
20240603,002141,1
20240603,600599,1
20240604,603363,1
20240604,600165,2
20240605,600599,2
20240606,002310,1
20240611,002141,2
20240611,002310,2
20240612,000711,1
20240612,603363,2
20240613,000711,2
20240614,002310,1
20240617,002310,2
20240618,002310,1
20240618,002650,1
20240618,600666,1
20240619,600666,2
20240619,002310,2
20240620,600387,1
20240620,600666,1
20240620,000525,1
20240620,002650,2
20240621,600804,1
20240621,600666,2
20240621,600387,2
20240621,000525,2
20240624,600804,2
20240624,600804,2
20240624,600804,2
20240625,002742,1
20240626,002742,2
20240627,600804,2
20240702,002052,1
20240702,002005,1
20240702,600518,1
20240703,002052,2
20240704,603117,1
20240705,300506,1
20240705,002005,2
20240705,600518,2
20240705,603117,2
20240708,300506,2
20240709,300108,1
20240709,600165,1
20240709,002052,1
20240709,000752,1
20240710,300108,2
20240710,600165,2
20240710,600165,2
