日期,委托时间,品种,股票代码,买卖类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2024-3-8,13:00:00,股票,*ST天山(300313.XSHE),卖,市价单,-2800股,10.17,-28476,-2800股,-,252,19.24,全部成交,2024-3-8 13:00
2024-3-8,13:00:00,股票,ST中利(002309.XSHE),卖,市价单,-12600股,2.46,-30996,-12600股,-,2268,20.5,全部成交,2024-3-8 13:00
2024-3-11,9:30:00,股票,*ST榕泰(600589.XSHG),买,市价单,7000股,4.22,29540,7000股,-,0,5,全部成交,2024-3-11 9:30
2024-3-11,9:30:00,股票,*ST园城(600766.XSHG),买,市价单,1800股,15.94,28692,1800股,-,0,5,全部成交,2024-3-11 9:30
2024-3-11,13:00:00,股票,ST鼎龙(002502.XSHE),卖,市价单,-13900股,1.96,-27244,-13900股,-,973,18.62,全部成交,2024-3-11 13:00
2024-3-11,13:00:00,股票,ST南卫(603880.XSHG),卖,市价单,-6500股,4.11,-26715,-6500股,-,325,18.36,全部成交,2024-3-11 13:00
2024-3-12,9:30:00,股票,*ST中捷(002021.XSHE),买,市价单,15100股,1.82,27482,15100股,-,0,5,全部成交,2024-3-12 9:30
2024-3-12,9:30:00,股票,ST花王(603007.XSHG),买,市价单,4500股,6.1,27450,4500股,-,0,5,全部成交,2024-3-12 9:30
2024-3-12,13:00:00,股票,*ST榕泰(600589.XSHG),卖,市价单,-7000股,4.38,-30660,-7000股,-,1120,20.33,全部成交,2024-3-12 13:00
2024-3-13,9:30:00,股票,*ST美谷(000615.XSHE),买,市价单,11300股,2.74,30962,11300股,-,0,5,全部成交,2024-3-13 9:30
2024-3-13,13:00:00,股票,*ST中捷(002021.XSHE),卖,市价单,-15100股,1.83,-27633,-15100股,-,151,18.82,全部成交,2024-3-13 13:00
2024-3-14,9:30:00,股票,ST天顺(002800.XSHE),买,市价单,2000股,13.52,27040,2000股,-,0,5,全部成交,2024-3-14 9:30
2024-3-14,13:00:00,股票,*ST园城(600766.XSHG),卖,市价单,-1800股,15.98,-28764,-1800股,-,72,19.38,全部成交,2024-3-14 13:00
2024-3-14,13:00:00,股票,ST花王(603007.XSHG),卖,市价单,-4500股,5.84,-26280,-4500股,-,-1170,18.14,全部成交,2024-3-14 13:00
2024-3-14,14:00:00,股票,*ST美谷(000615.XSHE),卖,市价单,-11300股,2.76,-31188,-11300股,-,226,20.59,全部成交,2024-3-14 14:00
2024-3-15,9:30:00,股票,ST曙光(600303.XSHG),买,市价单,8700股,3.32,28884,8700股,-,0,5,全部成交,2024-3-15 9:30
2024-3-15,9:30:00,股票,ST八菱(002592.XSHE),买,市价单,5100股,5.58,28458,5100股,-,0,5,全部成交,2024-3-15 9:30
2024-3-15,9:30:00,股票,ST九有(600462.XSHG),买,市价单,11000股,2.62,28820,11000股,-,0,5,全部成交,2024-3-15 9:30
2024-3-15,13:00:00,股票,ST天顺(002800.XSHE),卖,市价单,-2000股,13.61,-27220,-2000股,-,180,18.61,全部成交,2024-3-15 13:00
2024-3-18,9:30:00,股票,*ST美盛(002699.XSHE),买,市价单,23700股,1.17,27729,23700股,-,0,5,全部成交,2024-3-18 9:30
2024-3-18,13:00:00,股票,ST曙光(600303.XSHG),卖,市价单,-8700股,3.54,-30798,-8700股,-,1914,20.4,全部成交,2024-3-18 13:00
2024-3-18,13:00:00,股票,ST八菱(002592.XSHE),卖,市价单,-5100股,5.68,-28968,-5100股,-,510,19.48,全部成交,2024-3-18 13:00
2024-3-19,9:30:00,股票,ST中装(002822.XSHE),买,市价单,9700股,3.06,29682,9700股,-,0,5,全部成交,2024-3-19 9:30
2024-3-19,9:30:00,股票,ST熊猫(600599.XSHG),买,市价单,2900股,10.23,29667,2900股,-,0,5,全部成交,2024-3-19 9:30
2024-3-19,13:00:00,股票,ST九有(600462.XSHG),卖,市价单,-11000股,2.72,-29920,-11000股,-,1100,19.96,全部成交,2024-3-19 13:00
2024-3-20,9:30:00,股票,ST金时(002951.XSHE),买,市价单,5200股,5.82,30264,5200股,-,0,5,全部成交,2024-3-20 9:30
2024-3-20,13:00:00,股票,*ST美盛(002699.XSHE),卖,市价单,-23700股,1.11,-26307,-23700股,-,-1422,18.15,全部成交,2024-3-20 13:00
2024-3-20,13:00:00,股票,ST中装(002822.XSHE),卖,市价单,-9700股,2.94,-28518,-9700股,-,-1164,19.26,全部成交,2024-3-20 13:00
2024-3-20,13:00:00,股票,ST熊猫(600599.XSHG),卖,市价单,-2900股,11,-31900,-2900股,-,2233,20.95,全部成交,2024-3-20 13:00
2024-3-21,9:30:00,股票,ST熊猫(600599.XSHG),买,市价单,2600股,10.96,28496,2600股,-,0,5,全部成交,2024-3-21 9:30
2024-3-21,9:30:00,股票,*ST炼石(000697.XSHE),买,市价单,4200股,6.78,28476,4200股,-,0,5,全部成交,2024-3-21 9:30
2024-3-22,9:30:00,股票,ST康美(600518.XSHG),买,市价单,13900股,2.13,29607,13900股,-,0,5,全部成交,2024-3-22 9:30
2024-3-22,13:00:00,股票,ST金时(002951.XSHE),卖,市价单,-5200股,6.28,-32656,-5200股,-,2392,21.33,全部成交,2024-3-22 13:00
2024-3-22,13:00:00,股票,*ST炼石(000697.XSHE),卖,市价单,-4200股,7.12,-29904,-4200股,-,1428,19.95,全部成交,2024-3-22 13:00
2024-3-25,13:00:00,股票,ST康美(600518.XSHG),卖,市价单,-13900股,2.28,-31692,-13900股,-,2085,20.85,全部成交,2024-3-25 13:00
2024-3-25,14:00:00,股票,ST熊猫(600599.XSHG),卖,市价单,-2600股,11.02,-28652,-2600股,-,156,19.33,全部成交,2024-3-25 14:00
2024-3-26,9:30:00,股票,ST康美(600518.XSHG),买,市价单,13900股,2.22,30858,13900股,-,0,5,全部成交,2024-3-26 9:30
2024-3-26,9:30:00,股票,ST浩源(002700.XSHE),买,市价单,5400股,5.6,30240,5400股,-,0,5,全部成交,2024-3-26 9:30
2024-3-27,9:30:00,股票,ST红太阳(000525.XSHE),买,市价单,3400股,9.01,30634,3400股,-,0,5,全部成交,2024-3-27 9:30
2024-3-27,13:00:00,股票,ST浩源(002700.XSHE),卖,市价单,-5400股,5.66,-30564,-5400股,-,324,20.28,全部成交,2024-3-27 13:00
2024-3-28,13:00:00,股票,ST康美(600518.XSHG),卖,市价单,-13900股,2.1,-29190,-13900股,-,-1668,19.6,全部成交,2024-3-28 13:00
2024-3-28,14:00:00,股票,ST红太阳(000525.XSHE),卖,市价单,-3400股,9.16,-31144,-3400股,-,510,20.57,全部成交,2024-3-28 14:00
2024-4-1,9:30:00,股票,*ST榕泰(600589.XSHG),买,市价单,6400股,4.7,30080,6400股,-,0,5,全部成交,2024-4-1 9:30
2024-4-2,13:00:00,股票,*ST榕泰(600589.XSHG),卖,市价单,-6400股,4.82,-30848,-6400股,-,768,20.42,全部成交,2024-4-2 13:00
2024-4-3,9:30:00,股票,*ST炼石(000697.XSHE),买,市价单,3900股,7.76,30264,3900股,-,0,5,全部成交,2024-4-3 9:30
2024-4-3,9:30:00,股票,*ST园城(600766.XSHG),买,市价单,1800股,16.98,30564,1800股,-,0,5,全部成交,2024-4-3 9:30
2024-4-3,9:30:00,股票,ST宇顺(002289.XSHE),买,市价单,6000股,5.06,30360,6000股,-,0,5,全部成交,2024-4-3 9:30
2024-4-3,9:30:00,股票,*ST同达(600647.XSHG),买,市价单,2800股,10.82,30296,2800股,-,0,5,全部成交,2024-4-3 9:30
2024-4-8,13:00:00,股票,*ST炼石(000697.XSHE),卖,市价单,-3900股,8.01,-31239,-3900股,-,975,20.62,全部成交,2024-4-8 13:00
2024-4-8,13:00:00,股票,ST宇顺(002289.XSHE),卖,市价单,-6000股,5.3,-31800,-6000股,-,1440,20.9,全部成交,2024-4-8 13:00
2024-4-9,9:30:00,股票,*ST东洋(002086.XSHE),买,市价单,12700股,2.52,32004,12700股,-,0,5,全部成交,2024-4-9 9:30
2024-4-9,9:30:00,股票,*ST凯撒(000796.XSHE),买,市价单,9500股,3.36,31920,9500股,-,0,5,全部成交,2024-4-9 9:30
