日期,股票代码,买卖类型,成交价
20240802,600136,1,1.44
20240805,600083,1,2.05
20240805,000851,2,2.43
20240805,600136,2,1.38
20240806,600234,1,2.96
20240806,000622,1,1.84
20240806,600608,1,2.44
20240807,600608,2,2.54
20240808,002424,1,3.68
20240808,600083,2,2.43
20240809,000506,1,1.39
20240809,600234,2,3.22
20240809,000622,2,1.98
20240809,002424,2,3.68
20240812,002822,1,1.72
20240812,600898,1,1.4
20240812,002742,1,2.6
20240813,002822,2,1.78
20240813,002742,2,2.68
20240814,000506,2,1.35
20240815,000622,1,1.91
20240815,000656,1,1.18
20240815,600715,1,1.78
20240816,600898,2,1.44
20240816,000622,2,1.9
20240816,600715,2,1.85
20240816,000656,2,1.28
20240819,603559,1,5.48
20240821,600165,1,2.01
20240821,000525,1,8.62
20240821,603869,1,4.51
20240822,000525,2,8.83
20240822,603869,2,4.61
20240823,600898,1,1.5
20240823,000584,1,1.74
20240823,600165,2,2.24
20240823,603559,2,6.16
20240826,600165,1,2.2
20240826,002052,1,1.82
20240828,600898,2,1.42
20240828,000584,2,2.08
20240828,600165,2,2.28
20240829,600462,1,1.42
20240829,600608,1,2.72
20240829,002309,1,2.08
20240830,600462,2,1.42
20240830,600608,2,2.76
20240830,002052,2,2.33
20240830,002309,2,2.1
20240902,002650,1,2.3
20240903,002822,1,1.86
20240903,002490,1,2.12
20240903,002721,1,2.18
20240903,002650,2,2.22
20240904,603959,1,1.86
20240904,002721,2,2.34
20240904,002822,2,1.78
20240905,002217,1,1.36
20240905,002310,1,1.38
20240906,002490,2,1.96
20240906,002217,2,1.46
20240906,002310,2,1.42
20240906,603959,2,1.88
20240909,002217,1,1.48
20240909,600365,1,2.56
20240909,600715,1,1.89
20240910,002528,1,2.44
20240910,600715,2,1.88
20240911,002259,1,2.6
20240911,600365,2,2.45
20240912,600715,1,1.89
20240912,002528,2,2.34
20240912,002259,2,2.62
20240913,002217,2,1.31
20240913,600715,2,1.88
20240918,002822,1,1.98
20240918,600365,1,2.55
20240919,002822,2,2.02
20240919,600365,2,2.56
20240920,603557,1,2.02
20240923,002822,1,2
20240923,002586,1,1.76
20240924,002822,2,2.04
20240925,300125,1,4.82
20240925,603557,2,2.04
20240926,600711,1,3.8
20240926,002586,2,1.84
20240926,300125,2,4.99
20240927,000609,1,2
20240927,600136,1,1.41
20240927,002951,1,5.68
20240927,600711,2,4.11
20240930,600715,1,2.05
20240930,000609,2,2.02
20240930,600136,2,1.46
20241008,002951,2,5.82
20241008,600715,2,1.98
20241009,600831,1,2.34
20241009,600711,1,4.34
20241009,002490,1,2.24
20241009,603023,1,2.14
20241010,603023,2,2.04
20241011,600360,1,3.7
20241011,600711,2,4.18
20241011,002490,2,2.16
20241011,600831,2,2.24
20241014,603559,1,7.9
20241014,002721,1,2.82
20241014,600360,2,3.74
20241015,603559,2,8.03
20241015,002721,2,2.98
20241016,603007,1,7.46
20241017,000615,1,2.16
20241017,002650,1,2.26
20241017,600234,1,3.26
20241017,603007,2,7.76
20241018,002721,1,3
20241018,002650,2,2.28
20241021,002808,1,2.18
20241021,000615,2,2.06
20241021,002721,2,3.06
20241021,600234,2,3.28
20241022,002289,1,3.34
20241022,002808,2,2.22
20241023,300536,1,6.72
20241023,600608,1,2.9
20241023,600671,1,8.39
20241023,002289,2,3.49
20241024,600711,1,4.76
20241024,300536,2,7.48
20241024,600671,2,8.41
20241025,603959,1,2.1
20241025,603388,1,2.1
20241025,600608,2,3.18
20241025,600711,2,5
20241028,000908,1,4.72
